Group ID,Conflict Type,Date
0SRFC3VM,CR, 08/10/2019 15:06:52
3SJDLUGJ,CR, 11/10/2019 15:02:19
4VB1QROA,CR, 14/10/2019 15:05:56
7RM334IL,CR, 31/05/2019 15:31:35
13HIIT5N,CR, 24/06/2019 18:12:26
0436INH4,CR, 15/10/2019 19:18:27
AL70JT63,CR, 26/06/2019 17:37:46
B7M6KREH,CR, 16/10/2019 12:05:28
BJBD0IDK,CR, 15/10/2019 11:03:01
DR8V2FJR,CR, 15/10/2019 17:06:32
K9B246LF,CR, 10/07/2019 17:42:35
QW8JDA2W,CR, 14/10/2019 16:59:41
R7UU7Y9W,CR, 14/10/2019 19:00:45
ROBHJF8R,CR, 10/10/2019 16:23:20
TDKJO808,CR, 16/10/2019 15:06:31
UVBVYLWD,CR, 16/10/2019 10:07:58
W5P5LLQA,CR, 03/10/2019 15:12:27
ZUJFU91H,CR, 14/10/2019 10:16:48
W54PWTQR,CR, 11/10/2019 17:28:08
3CLC9VWR,CC, 05/12/2018 12:01:18
PZJEX81D,CC, 28/11/2018 11:35:15
3OGHYIL9,CC, 18/10/2019 14:40:43
4Q4JPRS5,CC, 10/05/2019 12:15:33
CGGJD0EZ,CC, 08/05/2019 17:28:31
JDUNN8KR,CC, 17/10/2019 14:54:32
JX3EKSAV,CC, 10/05/2019 17:23:36
NKQE9TPQ,CC, 29/04/2019 17:30:30
YBPWUSTF,CC, 09/05/2019 17:58:09
VTIOBK3M,CC, 06/03/2019 18:12:01
4ZAI4OPO,CT, 04/04/2019 17:47:39
8L8YH1YK,CT, 10/05/2019 15:07:39
PNCFXNCF,CT, 12/04/2019 10:56:00
CPEDO8DY,CT, 16/10/2019 18:40:20
CZ9FJOEY,CT, 17/10/2019 18:37:48
FLRYX880,CT, 16/10/2019 16:41:50
NKDVHJ4S,CT, 12/04/2019 17:14:10
TZBR05V6,CT, 17/10/2019 10:46:07
WKXIEXJY,CT, 29/03/2019 17:31:36
03MF7CL9,CT, 29/03/2019 15:08:42
3CLC9VWRSAMPLE,TEST, 05/12/2018 12:01:18
3CLC9VWRSAMPLE2,TEST, 05/12/2018 12:01:18
